iter	Logloss
0	0.6671702721
1	0.6442831158
2	0.6207096961
3	0.5967165732
4	0.5726409299
5	0.5531065998
6	0.5352145938
7	0.5173977359
8	0.501742663
9	0.4850716219
10	0.4697033328
11	0.4545746068
12	0.442264476
13	0.4278688828
14	0.4171434839
15	0.4060481775
16	0.3965030713
17	0.3861924644
18	0.3759560528
19	0.36613329
20	0.3555757574
21	0.3465254329
22	0.3393639229
23	0.3318851725
24	0.3252738248
25	0.320067008
26	0.3140866377
27	0.3084815465
28	0.3023863648
29	0.2973523593
30	0.2919033623
31	0.2873155125
32	0.2834343643
33	0.2791738231
34	0.2754870921
35	0.2722015568
36	0.2680150882
37	0.2651507725
38	0.2617900074
39	0.2588321866
40	0.255820718
41	0.2520511339
42	0.2497281244
43	0.2468086846
44	0.2443179813
45	0.2410719644
46	0.2379948186
47	0.2356501128
48	0.2336904287
49	0.2317610967
50	0.2298614123
51	0.2281285166
52	0.2258017497
53	0.2241505918
54	0.2223962211
55	0.2207977515
56	0.2193776688
57	0.2182798289
58	0.2170218428
59	0.2158816929
60	0.2143330458
61	0.2127919347
62	0.2115018966
63	0.2100633519
64	0.2090763346
65	0.2077233066
66	0.2065425189
67	0.2052528608
68	0.2043453131
69	0.2033984531
70	0.2026817952
71	0.2017548243
72	0.2007445561
73	0.1995275641
74	0.1991235148
75	0.1987428429
76	0.1980519905
77	0.1974076131
78	0.1967712015
79	0.1961240471
80	0.1957216358
81	0.1951604225
82	0.1947692432
83	0.1942605122
84	0.1936176701
85	0.1932231267
86	0.1927015075
87	0.1920669963
88	0.1915562823
89	0.1909196734
90	0.1905319921
91	0.1902514481
92	0.1898527716
93	0.1893063233
94	0.1888340737
95	0.1883241372
96	0.1878634057
97	0.1872927483
98	0.1868862373
99	0.1864252273
100	0.1860591106
101	0.185535577
102	0.1851338231
103	0.1848551045
104	0.1845673211
105	0.1841905271
106	0.1838970418
107	0.1835983926
108	0.1833415995
109	0.1830773732
110	0.1828897222
111	0.1826753554
112	0.1824320886
113	0.1822000728
114	0.1818987879
115	0.1816635562
116	0.1813794091
117	0.1812181788
118	0.1810129131
119	0.1807449721
120	0.1805707924
121	0.1803067139
122	0.1801675504
123	0.1800128265
124	0.1797917936
125	0.1795695655
126	0.1794869543
127	0.1793043823
128	0.1791776428
129	0.1789916966
130	0.1788150943
131	0.1787107986
132	0.1785641573
133	0.1784156939
134	0.1783466263
135	0.1782069721
136	0.1779596324
137	0.1777587674
