iter	Passed	Remaining
0	1	1155
1	2	1079
2	3	1056
3	4	1035
4	5	1025
5	6	1020
6	7	1018
7	8	1003
8	9	1005
9	10	995
10	10	986
11	12	995
12	13	988
13	14	988
14	15	985
15	15	980
16	16	981
17	18	986
18	19	981
19	19	976
20	20	978
21	22	988
22	23	987
23	24	983
24	25	983
25	26	985
26	27	986
27	28	985
28	29	988
29	30	984
30	31	984
31	32	985
32	33	988
33	34	988
34	35	989
35	36	989
36	38	990
37	39	992
38	40	991
39	41	990
40	42	989
41	43	988
42	44	990
43	45	992
44	46	992
45	47	989
46	48	989
47	49	986
48	50	983
49	51	980
50	52	980
51	53	977
52	54	980
53	55	976
54	56	971
55	57	969
56	58	970
57	59	969
58	60	969
59	61	967
60	62	967
61	63	967
62	65	967
63	66	966
64	67	964
65	68	963
66	69	961
67	69	959
68	71	958
69	72	959
70	73	960
71	74	960
72	75	962
73	76	961
74	77	961
75	78	958
76	79	958
77	81	958
78	82	957
79	83	957
80	84	958
81	85	956
82	86	956
83	87	955
84	88	955
85	89	955
86	91	955
87	92	955
88	93	954
89	94	954
90	95	954
91	96	957
92	97	955
93	99	954
94	100	953
95	101	953
96	102	952
97	103	950
98	104	949
99	105	948
100	106	948
101	107	947
102	108	946
103	109	946
104	111	946
105	112	946
106	113	945
107	114	944
108	115	943
109	116	942
110	117	941
111	118	940
112	119	938
113	120	937
114	121	936
115	122	935
116	123	934
117	124	933
118	126	932
119	127	931
120	128	930
121	129	928
122	130	928
123	131	927
124	132	926
125	133	925
126	134	924
127	135	923
128	136	922
129	137	921
130	138	919
131	139	918
132	140	917
133	141	915
134	142	915
135	143	914
136	144	913
137	145	911
138	147	910
139	148	909
140	149	908
141	150	907
142	151	906
143	152	905
144	153	903
145	154	902
146	155	902
147	156	900
148	157	899
149	158	897
150	159	896
151	160	895
152	161	895
153	162	892
154	163	891
155	164	889
156	165	889
157	166	887
158	167	886
159	168	885
160	169	883
161	170	882
162	171	880
163	172	879
164	173	877
165	174	876
166	175	875
167	176	874
168	177	873
169	178	872
170	179	871
171	180	870
172	182	870
173	183	869
174	184	869
175	185	868
176	186	867
177	187	865
178	188	864
179	189	863
180	190	862
181	191	861
182	192	860
183	193	859
184	194	857
185	195	857
186	196	855
187	197	855
188	199	854
189	200	854
190	201	853
191	202	853
192	203	852
193	204	851
194	206	850
195	207	849
196	208	848
197	209	848
198	210	847
199	211	845
200	212	844
201	213	843
202	214	842
203	215	841
204	216	840
205	217	839
206	218	837
207	219	836
208	220	835
209	221	834
210	222	833
211	223	832
212	225	832
213	226	831
214	227	830
215	228	828
216	229	828
217	230	827
218	231	826
219	232	825
220	233	823
221	234	822
222	235	821
223	237	821
224	238	819
225	239	819
226	240	817
227	241	816
228	242	816
229	243	815
230	244	814
231	245	813
232	246	812
233	247	810
234	248	809
235	249	808
236	250	807
237	251	806
238	252	805
239	254	804
240	255	803
241	256	802
242	257	801
243	258	799
244	259	799
245	260	798
246	261	797
247	262	796
248	263	795
249	264	794
250	265	792
251	266	791
252	267	790
253	268	789
254	269	788
255	270	787
256	271	786
257	272	784
258	273	783
259	274	782
260	276	781
261	277	780
262	278	779
263	279	778
264	280	777
265	281	776
266	282	774
267	283	774
268	284	772
269	285	771
270	286	769
271	287	769
272	288	768
273	289	767
274	290	765
275	291	764
276	292	763
277	293	762
278	294	761
279	295	760
280	296	759
281	297	758
282	299	757
283	300	757
284	301	756
285	302	754
286	303	753
287	304	752
288	305	751
289	306	750
290	307	750
291	308	749
292	310	748
293	311	746
294	312	746
295	313	744
296	314	744
297	315	743
298	316	741
299	317	740
300	318	739
301	319	739
302	320	737
303	321	735
304	322	734
305	323	733
306	324	732
307	325	731
308	326	730
309	327	729
310	329	729
311	330	728
312	331	727
313	332	726
314	333	725
315	334	724
316	335	722
317	336	722
318	337	721
319	338	720
320	339	719
321	341	718
322	342	717
323	343	715
324	344	715
325	345	713
326	346	712
327	347	711
328	348	710
329	349	709
330	350	708
331	351	707
332	352	706
333	353	705
334	354	704
335	355	703
336	356	702
337	358	701
338	359	700
339	360	699
340	361	698
341	362	697
342	363	696
343	364	695
344	365	694
345	366	693
346	368	692
347	369	692
348	370	691
349	371	690
350	373	689
351	374	688
352	375	687
353	376	687
354	377	685
355	378	684
356	379	683
357	380	682
358	381	681
359	382	680
360	383	679
361	384	678
362	385	677
363	387	676
364	388	675
365	389	673
366	390	672
367	391	671
368	392	670
369	393	669
370	394	668
371	395	668
372	396	667
373	397	666
374	399	665
375	400	664
376	401	663
377	402	662
378	403	660
379	404	659
380	405	658
381	406	657
382	407	656
383	408	655
384	409	654
385	411	654
386	412	652
387	413	652
388	414	650
389	415	649
390	416	648
391	417	647
392	418	646
393	419	645
394	420	644
395	422	643
396	423	642
397	424	641
398	425	640
399	426	639
400	427	638
401	428	637
402	429	636
403	430	635
404	431	634
405	432	633
406	433	632
407	434	631
408	435	630
409	436	628
410	438	627
411	439	626
412	440	626
413	441	624
414	442	623
415	443	622
416	444	621
417	445	620
418	446	619
419	447	618
420	449	617
421	450	616
422	451	615
423	452	614
424	453	613
425	454	612
426	455	610
427	456	609
428	457	609
429	458	608
430	459	607
431	460	606
432	462	605
433	463	603
434	464	602
435	465	602
436	466	601
437	467	599
438	468	598
439	469	597
440	470	596
441	471	595
442	472	594
443	474	593
444	475	593
445	476	591
446	477	590
447	478	589
448	479	588
449	480	587
450	481	586
451	483	585
452	484	584
453	485	583
454	486	582
455	487	581
456	488	580
457	489	579
458	490	578
459	491	577
460	493	576
461	494	575
462	495	574
463	496	572
464	497	571
465	498	570
466	499	569
467	500	568
468	501	567
469	502	566
470	503	565
471	504	564
472	506	563
473	507	562
474	508	561
475	509	560
476	510	559
477	511	558
478	512	557
479	513	556
480	515	555
481	516	555
482	517	553
483	518	553
484	519	552
485	521	551
486	522	550
487	523	549
488	524	547
489	525	547
490	526	546
491	527	544
492	528	543
493	529	542
494	531	541
495	532	540
496	533	539
497	534	538
498	535	537
499	536	536
500	537	535
501	538	533
502	539	532
503	540	531
504	541	530
505	542	529
506	543	528
507	544	527
508	545	526
509	546	525
510	547	524
511	548	522
512	549	522
513	550	520
514	552	519
515	553	518
516	554	517
517	555	516
518	556	515
519	557	515
