id,duration,start_date,src,start_terminal,end_date,end_station,end_terminal,bike,subscriber,zip
913387,382,8/31/2015 20:23,5th at Howard,57,8/31/2015 20:29,San Francisco Caltrain 2 (330 Townsend),69,238,Customer,19127
913286,1036,8/31/2015 19:17,Clay at Battery,41,8/31/2015 19:34,San Francisco Caltrain (Townsend at 4th),70,535,Subscriber,95014
912749,668,8/31/2015 16:41,Civic Center BART (7th at Market),72,8/31/2015 16:52,San Francisco Caltrain 2 (330 Townsend),69,270,Subscriber,94062
912663,381,8/31/2015 16:13,Post at Kearny,47,8/31/2015 16:20,Harry Bridges Plaza (Ferry Building),50,472,Subscriber,95442
912627,656,8/31/2015 15:53,Beale at Market,56,8/31/2015 16:03,San Francisco Caltrain 2 (330 Townsend),69,385,Subscriber,94085
912402,165,8/31/2015 11:36,South Van Ness at Market,66,8/31/2015 11:39,San Francisco City Hall,58,431,Subscriber,94134
912217,209,8/31/2015 9:27,Evelyn Park and Ride,30,8/31/2015 9:31,Mountain View Caltrain Station,28,706,Subscriber,95051
912111,647,8/31/2015 9:02,Powell Street BART,39,8/31/2015 9:12,Townsend at 7th,65,554,Subscriber,94551
912050,1072,8/31/2015 8:50,San Francisco Caltrain 2 (330 Townsend),69,8/31/2015 9:08,Embarcadero at Folsom,51,426,Subscriber,94070
911938,112,8/31/2015 8:24,2nd at Townsend,61,8/31/2015 8:26,2nd at South Park,64,321,Subscriber,94107
911898,764,8/31/2015 8:12,Civic Center BART (7th at Market),72,8/31/2015 8:24,Spear at Folsom,49,451,Subscriber,94080
911734,536,8/31/2015 7:28,Embarcadero at Bryant,54,8/31/2015 7:37,San Francisco Caltrain (Townsend at 4th),70,607,Subscriber,94105
911695,642,8/31/2015 7:06,Temporary Transbay Terminal (Howard at Beale),55,8/31/2015 7:17,Civic Center BART (7th at Market),72,493,Subscriber,94710
911681,463,8/31/2015 6:58,Grant Avenue at Columbus Avenue,73,8/31/2015 7:06,Mechanics Plaza (Market at Battery),75,109,Subscriber,94133
911482,1950,8/30/2015 16:39,Japantown,9,8/30/2015 17:11,St James Park,13,64,Customer,94901
911429,4851,8/30/2015 15:18,Steuart at Market,74,8/30/2015 16:39,Steuart at Market,74,426,Customer,96162
911156,70,8/29/2015 20:12,South Van Ness at Market,66,8/29/2015 20:14,South Van Ness at Market,66,564,Customer,44
910805,2075,8/29/2015 10:56,Harry Bridges Plaza (Ferry Building),50,8/29/2015 11:31,San Francisco Caltrain (Townsend at 4th),70,189,Customer,90803
910583,816,8/28/2015 19:05,Embarcadero at Vallejo,48,8/28/2015 19:19,San Francisco Caltrain (Townsend at 4th),70,491,Subscriber,94403
910570,558,8/28/2015 18:55,Grant Avenue at Columbus Avenue,73,8/28/2015 19:04,Steuart at Market,74,558,Customer,94112
910569,286,8/28/2015 18:54,Market at Sansome,77,8/28/2015 18:59,Harry Bridges Plaza (Ferry Building),50,568,Subscriber,94947
910433,494,8/28/2015 17:55,Harry Bridges Plaza (Ferry Building),50,8/28/2015 18:03,2nd at Townsend,61,579,Customer,92618
910423,636,8/28/2015 17:52,Commercial at Montgomery,45,8/28/2015 18:03,5th at Howard,57,547,Subscriber,94608
910411,876,8/28/2015 17:49,Market at Sansome,77,8/28/2015 18:03,San Francisco Caltrain 2 (330 Townsend),69,604,Subscriber,95134
910317,449,8/28/2015 17:11,San Francisco Caltrain (Townsend at 4th),70,8/28/2015 17:19,5th at Howard,57,309,Subscriber,94107
910208,1142,8/28/2015 16:44,Golden Gate at Polk,59,8/28/2015 17:03,2nd at Townsend,61,33,Subscriber,94109
910187,273,8/28/2015 16:36,Embarcadero at Sansome,60,8/28/2015 16:41,Steuart at Market,74,259,Subscriber,94611
910141,392,8/28/2015 16:15,Embarcadero at Vallejo,48,8/28/2015 16:21,Temporary Transbay Terminal (Howard at Beale),55,576,Subscriber,94611
910140,342,8/28/2015 16:15,Evelyn Park and Ride,30,8/28/2015 16:20,Mountain View Caltrain Station,28,251,Subscriber,94111
909895,292,8/28/2015 12:13,South Van Ness at Market,66,8/28/2015 12:17,Civic Center BART (7th at Market),72,397,Subscriber,94702
909291,551,8/28/2015 7:51,Market at 10th,67,8/28/2015 8:00,Market at Sansome,77,300,Subscriber,94102
909244,808,8/28/2015 7:33,Golden Gate at Polk,59,8/28/2015 7:47,Spear at Folsom,49,544,Subscriber,94109
909073,212,8/27/2015 21:17,Embarcadero at Vallejo,48,8/27/2015 21:20,Steuart at Market,74,427,Subscriber,94610
908956,552,8/27/2015 19:15,Market at 10th,67,8/27/2015 19:24,San Francisco Caltrain 2 (330 Townsend),69,478,Subscriber,94582
908628,341,8/27/2015 17:23,Commercial at Montgomery,45,8/27/2015 17:28,Temporary Transbay Terminal (Howard at Beale),55,512,Subscriber,94611
908398,2535,8/27/2015 16:11,Broadway St at Battery St,82,8/27/2015 16:53,Harry Bridges Plaza (Ferry Building),50,542,Customer,94559
908279,268,8/27/2015 15:05,Civic Center BART (7th at Market),72,8/27/2015 15:09,5th at Howard,57,325,Subscriber,94109
908098,571,8/27/2015 12:07,2nd at South Park,64,8/27/2015 12:17,Clay at Battery,41,379,Subscriber,94107
908084,517,8/27/2015 11:59,2nd at South Park,64,8/27/2015 12:08,Post at Kearny,47,386,Subscriber,94107
908056,234,8/27/2015 11:43,Davis at Jackson,42,8/27/2015 11:47,Embarcadero at Folsom,51,592,Subscriber,94111
908006,704,8/27/2015 11:02,San Francisco Caltrain (Townsend at 4th),70,8/27/2015 11:14,Temporary Transbay Terminal (Howard at Beale),55,579,Subscriber,95014
907802,555,8/27/2015 9:13,San Francisco Caltrain 2 (330 Townsend),69,8/27/2015 9:22,Market at Sansome,77,607,Subscriber,95134
907759,510,8/27/2015 8:59,Harry Bridges Plaza (Ferry Building),50,8/27/2015 9:08,2nd at Townsend,61,606,Subscriber,94901
907662,248,8/27/2015 8:40,San Antonio Caltrain Station,29,8/27/2015 8:44,San Antonio Shopping Center,31,197,Subscriber,94133
907529,818,8/27/2015 8:08,San Francisco Caltrain (Townsend at 4th),70,8/27/2015 8:21,Embarcadero at Vallejo,48,267,Subscriber,94065
907373,1075,8/27/2015 7:07,Steuart at Market,74,8/27/2015 7:25,Townsend at 7th,65,343,Subscriber,94706
907302,652,8/27/2015 5:41,San Francisco Caltrain 2 (330 Townsend),69,8/27/2015 5:52,Embarcadero at Folsom,51,158,Subscriber,94107
907242,446,8/26/2015 21:45,Howard at 2nd,63,8/26/2015 21:52,San Francisco Caltrain (Townsend at 4th),70,625,Subscriber,94107
906963,790,8/26/2015 18:11,Embarcadero at Sansome,60,8/26/2015 18:25,2nd at Townsend,61,69,Subscriber,94111
906821,769,8/26/2015 17:35,Stanford in Redwood City,25,8/26/2015 17:48,Redwood City Caltrain Station,22,295,Subscriber,94158
906752,492,8/26/2015 17:16,Market at Sansome,77,8/26/2015 17:24,San Francisco Caltrain 2 (330 Townsend),69,403,Subscriber,94306
906671,639,8/26/2015 17:01,Embarcadero at Folsom,51,8/26/2015 17:12,San Francisco Caltrain 2 (330 Townsend),69,209,Subscriber,94061
906601,327,8/26/2015 16:39,Market at 4th,76,8/26/2015 16:45,Mechanics Plaza (Market at Battery),75,625,Subscriber,94107
906363,268,8/26/2015 13:54,Temporary Transbay Terminal (Howard at Beale),55,8/26/2015 13:59,Embarcadero at Bryant,54,327,Subscriber,94403
906027,222,8/26/2015 9:47,Mountain View Caltrain Station,28,8/26/2015 9:51,Mountain View City Hall,27,251,Subscriber,94107
905983,967,8/26/2015 9:31,Grant Avenue at Columbus Avenue,73,8/26/2015 9:47,Market at 10th,67,432,Subscriber,94133
905966,296,8/26/2015 9:26,Rengstorff Avenue / California Street,33,8/26/2015 9:31,San Antonio Caltrain Station,29,197,Subscriber,94041
905831,301,8/26/2015 8:54,San Francisco Caltrain 2 (330 Townsend),69,8/26/2015 8:59,Townsend at 7th,65,356,Subscriber,94040
905584,362,8/26/2015 7:58,Clay at Battery,41,8/26/2015 8:04,Embarcadero at Folsom,51,362,Subscriber,94133
905529,533,8/26/2015 7:45,Grant Avenue at Columbus Avenue,73,8/26/2015 7:54,Powell Street BART,39,335,Subscriber,94133
905369,380,8/25/2015 22:28,Embarcadero at Folsom,51,8/25/2015 22:35,2nd at Townsend,61,372,Subscriber,94107
904927,457,8/25/2015 17:44,Market at 4th,76,8/25/2015 17:51,San Francisco Caltrain (Townsend at 4th),70,400,Subscriber,92067
904349,551,8/25/2015 12:14,Commercial at Montgomery,45,8/25/2015 12:23,Yerba Buena Center of the Arts (3rd @ Howard),68,270,Subscriber,94105
904330,212,8/25/2015 11:55,Market at Sansome,77,8/25/2015 11:58,Commercial at Montgomery,45,451,Subscriber,94122
904247,621,8/25/2015 10:45,Market at 4th,76,8/25/2015 10:55,San Francisco Caltrain (Townsend at 4th),70,677,Subscriber,94542
904198,744,8/25/2015 10:15,Market at Sansome,77,8/25/2015 10:27,2nd at Townsend,61,617,Customer,80129
904143,559,8/25/2015 9:47,San Francisco Caltrain (Townsend at 4th),70,8/25/2015 9:56,Davis at Jackson,42,614,Subscriber,95120
903904,624,8/25/2015 8:45,Civic Center BART (7th at Market),72,8/25/2015 8:56,Steuart at Market,74,586,Subscriber,94103
903824,985,8/25/2015 8:24,Townsend at 7th,65,8/25/2015 8:41,Embarcadero at Vallejo,48,394,Subscriber,94107
903761,1048,8/25/2015 8:06,Harry Bridges Plaza (Ferry Building),50,8/25/2015 8:24,Townsend at 7th,65,458,Subscriber,94590
903734,471,8/25/2015 7:58,Grant Avenue at Columbus Avenue,73,8/25/2015 8:06,Powell Street BART,39,506,Subscriber,94133
903702,656,8/25/2015 7:52,San Francisco Caltrain (Townsend at 4th),70,8/25/2015 8:02,Mechanics Plaza (Market at Battery),75,687,Subscriber,94040
903685,375,8/25/2015 7:45,San Jose Diridon Caltrain Station,2,8/25/2015 7:51,San Pedro Square,6,95,Subscriber,94002
903377,176,8/24/2015 19:23,San Francisco Caltrain (Townsend at 4th),70,8/24/2015 19:26,2nd at Townsend,61,547,Subscriber,94107
